"problem","model","data_file"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta60_5a_alloc2.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta43_3a_alloc3.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta79_6a_alloc3.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta69_3a_alloc2.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta78_8a_alloc2.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta55_4a_alloc1.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta54_3a_alloc3.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta77_5a_alloc2.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta80_9a_alloc2.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta71_7a_alloc1.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta74_9a_alloc1.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta59_5a_alloc2.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta64_5a_alloc3.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta74_10a_alloc3.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta47_3a_alloc2.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta37_3a_alloc1.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta50_3a_alloc2.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta73_5a_alloc3.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta75_7a_alloc1.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta73_10a_alloc1.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta73_5a_alloc2.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta51_4a_alloc1.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta50_3a_alloc3.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta47_3a_alloc3.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta74_10a_alloc2.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta64_5a_alloc2.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta59_5a_alloc3.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta80_9a_alloc3.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta77_5a_alloc3.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta54_3a_alloc2.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta33_3a_alloc1.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta78_8a_alloc3.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta68_4a_alloc1.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta69_3a_alloc3.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta43_3a_alloc2.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta79_6a_alloc2.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta60_5a_alloc3.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta60_5a_alloc1.dzn"
