"problem","model","data_file"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta55_4a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta55_4a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta71_7a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta71_7a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta74_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_9a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta37_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta37_3a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta75_7a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta75_7a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta73_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta73_10a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta51_4a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta51_4a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta33_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta33_3a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta68_4a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta68_4a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta60_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta60_5a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta69_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta69_3a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta78_8a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta78_8a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta77_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta77_5a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta80_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta80_9a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta59_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta59_5a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta47_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta47_3a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta50_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta50_3a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta73_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta73_5a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta64_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta64_5a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta54_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta54_3a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta79_6a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta79_6a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta43_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta43_3a_alloc1_MaxEffSpread.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta74_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_5a_alloc1_MaxEffSpread.dzn"
