"problem","model","data_file"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta55_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta55_4a_alloc1_MinDis.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta71_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta71_7a_alloc1_MinDis.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta74_9a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_9a_alloc1_MinDis.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta37_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta37_3a_alloc1_MinDis.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta75_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta75_7a_alloc1_MinDis.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta73_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta73_10a_alloc1_MinDis.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta51_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta51_4a_alloc1_MinDis.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta33_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta33_3a_alloc1_MinDis.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta68_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta68_4a_alloc1_MinDis.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta60_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta60_5a_alloc1_MinDis.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta69_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta69_3a_alloc1_MinDis.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta78_8a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta78_8a_alloc1_MinDis.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta77_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta77_5a_alloc1_MinDis.dzn"
"jobshop","jobshop/jobshop.mzn","jobshop/dzn/ta80_9a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta80_9a_alloc1_MinDis.dzn"
