configuration,problem,model,data_file,status,time,peakDepth,nodes,variables,intVars,boolVariables,objective,propagations,initTime,method,baseMem,restarts,nSolutions,flatBoolVars,randomSeed,evaluatedHalfReifiedConstraints,flatIntConstraints,solver_objective,backjumps,solveTime,flatIntVars,nogoods,flatTime,peakMem,flatBoolConstraints,failures,run,trailMem,eliminatedImplications,paths,propagators,optTime,evaluatedReifiedConstraints
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta77_7a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta77_7a_alloc1_MaxEffGini.dzn,SATISFIED,1200.6917970366776,,,,,,-43567,,,minimize,,,125,6100,,4100,18215,,,,8095,,1.87737,,8000,,MaxEff,,2100,0,,,4000
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta39_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta39_3a_alloc1_MaxEffGini.dzn,SATISFIED,1200.4973618984222,458,1844484,181823,1830,179991,-8323,470118711,0.083,minimize,0.0,24,24,1380,-258965482,930,4124,-8323,1065271,1199.487,1829,768056,0.513259,0.0,1800,768056,MaxEff,0.94,480,0,2293,131.698,900
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta44_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta44_3a_alloc1_MaxEffGini.dzn,SATISFIED,1200.563017508015,611,2406413,241796,2433,239361,-10580,468977890,0.109,minimize,0.0,19,19,1830,1052575121,1230,5481,-10580,1688892,1199.337,2431,705604,0.665094,0.0,2400,705604,MaxEff,0.94,630,0,3052,20.42,1200
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta60_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta60_5a_alloc1_MaxEffGini.dzn,SATISFIED,1200.423274628818,,,,,,-15916,,,minimize,,,80,2300,,1550,6868,,,,3053,,0.770061,,3000,,MaxEff,,800,0,,,1500
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta69_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta69_5a_alloc1_MaxEffGini.dzn,SATISFIED,1200.787754021585,1017,2867765,418946,4051,414893,-21599,249127674,0.19,minimize,0.0,47,47,3050,-2068487972,2050,9120,-21599,2192780,1198.983,4050,626652,1.01452,0.0,4000,626652,MaxEff,1.41,1050,0,5070,568.804,2000
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta75_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta75_5a_alloc1_MaxEffGini.dzn,SATISFIED,1200.6896576937288,,,,,,-44353,,,minimize,,,130,6100,,4100,18203,,,,8083,,1.88306,,8000,,MaxEff,,2100,0,,,4000
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta45_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta45_3a_alloc1_MaxEffGini.dzn,SATISFIED,1200.5795410107821,610,2893732,259749,2429,257318,-10854,497386704,0.119,minimize,0.0,23,23,1830,-1344047004,1230,5478,-10854,2210267,1199.391,2428,669659,0.607686,0.0,2400,669659,MaxEff,0.94,630,0,3046,640.596,1200
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta56_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta56_5a_alloc1_MaxEffGini.dzn,SATISFIED,1200.5871653147042,764,3165847,278029,3050,274977,-15896,265676063,0.138,minimize,0.0,51,51,2300,-604358615,1550,6863,-15896,2286591,1199.228,3048,839853,0.771275,0.0,3000,839853,MaxEff,0.94,800,0,3811,4.904,1500
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta71_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta71_9a_alloc1_MaxEffGini.dzn,SATISFIED,1201.4610388502479,2018,3002331,1581673,8095,1573576,-44233,188628385,0.378,minimize,0.0,191,191,6100,888096063,4100,18213,-44233,2236398,1198.108,8093,379436,1.89023,0.0,8000,379436,MaxEff,3.16,2100,0,10106,1116.22,4000
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta80_7a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta80_7a_alloc1_MaxEffGini.dzn,SATISFIED,1200.6710601076484,,,,,,-42044,,,minimize,,,141,6100,,4100,18210,,,,8090,,1.93406,,8000,,MaxEff,,2100,0,,,4000
