configuration,problem,model,data_file,status,time,peakDepth,nodes,variables,intVars,boolVariables,objective,propagations,initTime,method,baseMem,restarts,nSolutions,flatBoolVars,randomSeed,evaluatedHalfReifiedConstraints,flatIntConstraints,solver_objective,backjumps,solveTime,flatIntVars,nogoods,flatTime,peakMem,flatBoolConstraints,failures,run,trailMem,eliminatedImplications,paths,propagators,optTime,evaluatedReifiedConstraints
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta79_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta79_5a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.3697184883058,2021,1692905,1383165,8086,1375077,-44118,210746222,0.387,minimize,0.0,130,130,6100,999904558,4100,18206,-44118,1132694,1198.011,8085,296516,1.98602,0.0,8000,296516,MaxEff,3.16,2100,0,10090,267.565,4000
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta42_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta42_3a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.4264620821923,,,,,,-10759,,,minimize,,,31,1830,,1230,5483,,,,2432,,0.648653,,2400,,MaxEff,,630,0,,,1200
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta33_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta33_3a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.3908485975116,,,,,,-8977,,,minimize,,,55,1380,,930,4128,,,,1832,,0.511188,,1800,,MaxEff,,480,0,,,900
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta58_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta58_5a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.6877746451646,763,2008422,360433,3056,357375,-17217,317857073,0.142,minimize,0.0,71,71,2300,-1028475620,1550,6871,-17217,1346028,1199.224,3055,607944,0.774002,0.0,3000,607944,MaxEff,0.94,800,0,3825,46.768,1500
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta51_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta51_3a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.5682323910296,762,8616945,260733,3051,257680,-14399,200245001,0.139,minimize,0.0,72,72,2300,-872013150,1550,6866,-14399,6875164,1199.223,3050,1686458,0.775189,0.0,3000,1686458,MaxEff,0.63,800,0,3815,22.867,1500
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_6a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_6a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.720705959946,,,,,,-45120,,,minimize,,,453,6100,,4100,18206,,,,8085,,1.89304,,8000,,MaxEff,,2100,0,,,4000
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta49_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta49_3a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.5478613134474,610,2723446,220125,2431,217692,-9637,488741041,0.11,minimize,0.0,34,34,1830,347357360,1230,5481,-9637,2019003,1199.337,2430,683593,0.662551,0.0,2400,683593,MaxEff,0.94,630,0,3050,194.414,1200
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta69_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta69_5a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.83896003291,1016,2692897,420711,4051,416658,-20727,245958237,0.188,minimize,0.0,75,75,3050,319188283,2050,9121,-20727,1985832,1198.994,4050,630580,1.01245,0.0,4000,630580,MaxEff,1.41,1050,0,5070,32.292,2000
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta62_4a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta62_4a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.5223052408546,,,,,,-18319,,,minimize,,,67,3050,,2050,9120,,,,4049,,1.00912,,4000,,MaxEff,,1050,0,,,2000
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta73_7a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta73_7a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.263680100441,2019,2634611,1155587,8092,1147493,-39518,609608900,0.384,minimize,0.0,144,144,6100,-484293928,4100,18212,-39518,2250026,1198.084,8091,93334,1.92405,0.0,8000,93334,MaxEff,2.11,2100,0,10102,961.063,4000
