configuration,problem,model,data_file,status,time,restarts,intVars,run,initTime,solveTime,method,flatTime,backjumps,optTime,nSolutions,solver_objective,flatIntConstraints,objective,baseMem,trailMem,eliminatedImplications,flatBoolVars,flatBoolConstraints,failures,nogoods,nodes,propagations,peakDepth,propagators,paths,flatIntVars,evaluatedHalfReifiedConstraints,randomSeed,boolVariables,evaluatedReifiedConstraints,peakMem,variables
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta77_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta77_7a_alloc1_MinDis.dzn,SATISFIED,1201.1526646148413,,,MinDis,,,minimize,1.88031,,,123,,18214,29,,,2100,6100,8000,,,,,,,0,8094,4100,,,4000,,
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta39_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta39_3a_alloc1_MinDis.dzn,SATISFIED,1200.5694171264768,3,1829,MinDis,0.083,1199.473,minimize,0.524178,1104662,436.52,3,556,4123,556,0.0,0.63,480,1380,1800,728548,728548,1834844,478467921,458,2291,0,1828,930,-567056834,178243,900,0.0,180074
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta44_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta44_3a_alloc1_MinDis.dzn,SATISFIED,1200.5938604231924,1,2432,MinDis,0.111,1199.312,minimize,0.688739,2076484,25.88,1,606,5480,606,0.0,0.94,630,1830,2400,765320,765320,2842858,477907188,611,3050,0,2430,1230,1883037987,236897,1200,0.0,239331
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta60_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta60_5a_alloc1_MinDis.dzn,SATISFIED,1200.4670376013964,,,MinDis,,,minimize,0.77479,,,27,,6867,1236,,,800,2300,3000,,,,,,,0,3052,1550,,,1500,,
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta69_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta69_5a_alloc1_MinDis.dzn,SATISFIED,1200.7862394731492,30,4050,MinDis,0.189,1198.987,minimize,1.01444,2447002,273.477,30,254,9119,254,0.0,1.41,1050,3050,4000,649936,649936,3128098,309854789,1016,5068,0,4049,2050,1848565513,424392,2000,0.0,428444
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta75_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta75_5a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,1127.4261608831584,84,8083,MinDis,0.39,1123.852,minimize,1.87624,3196436,1123.761,84,0,18202,0,0.0,3.16,2100,6100,8000,108237,108237,3486511,498090867,2019,10084,0,8082,4100,1772021650,1490702,4000,0.0,1498787
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta45_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta45_3a_alloc1_MinDis.dzn,SATISFIED,1200.564781975001,7,2428,MinDis,0.111,1199.386,minimize,0.612379,2118859,993.856,7,338,5477,338,0.0,0.94,630,1830,2400,534212,534212,2657384,435025427,604,3044,0,2427,1230,-1607874206,273611,1200,0.0,276041
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta56_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta56_5a_alloc1_MinDis.dzn,SATISFIED,1200.6201254110783,28,3049,MinDis,0.137,1199.234,minimize,0.764637,4704283,36.152,28,54,6862,54,0.0,0.94,800,2300,3000,945894,945894,5672130,249268167,764,3809,0,3047,1550,-99559459,297440,1500,0.0,300491
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta71_9a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta71_9a_alloc1_MinDis.dzn,SATISFIED,1201.1049721930176,15,8094,MinDis,0.386,1198.087,minimize,1.91517,3993764,1020.513,15,548,18212,548,0.0,2.11,2100,6100,8000,187754,187754,4213103,981409750,2017,10104,0,8092,4100,1987362515,618896,4000,0.0,626992
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta80_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta80_7a_alloc1_MinDis.dzn,SATISFIED,1200.6862063668668,,,MinDis,,,minimize,1.8917,,,108,,18209,153,,,2100,6100,8000,,,,,,,0,8089,4100,,,4000,,
