configuration,problem,model,data_file,status,time,restarts,intVars,run,initTime,solveTime,method,flatTime,backjumps,optTime,nSolutions,solver_objective,flatIntConstraints,objective,baseMem,trailMem,eliminatedImplications,flatBoolVars,flatBoolConstraints,failures,nogoods,nodes,propagations,peakDepth,propagators,paths,flatIntVars,evaluatedHalfReifiedConstraints,randomSeed,boolVariables,evaluatedReifiedConstraints,peakMem,variables
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta79_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta79_5a_alloc1_MinDis.dzn,SATISFIED,1201.1517568714917,22,8085,MinDis,0.392,1198.129,minimize,1.8701,3866874,1010.057,22,510930,18207,510930,0.0,2.11,2100,6100,8000,171911,171911,4084497,939280105,2020,10088,0,8084,4100,-1361926677,800566,4000,0.0,808653
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta42_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta42_3a_alloc1_MinDis.dzn,SATISFIED,1200.3988288491964,,,MinDis,,,minimize,0.648199,,,8,,5484,139786,,,630,1830,2400,,,,,,,0,2431,1230,,,1200,,
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta33_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta33_3a_alloc1_MinDis.dzn,SATISFIED,1200.4173663519323,,,MinDis,,,minimize,0.482989,,,19,,4129,102926,,,480,1380,1800,,,,,,,0,1831,930,,,900,,
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta58_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta58_5a_alloc1_MinDis.dzn,SATISFIED,1200.6482556201518,39,3055,MinDis,0.14,1199.221,minimize,0.776544,10161562,1124.026,39,32477,6872,32477,0.0,0.63,800,2300,3000,703999,703999,10895692,836433450,763,3823,0,3054,1550,-1105691154,300280,1500,0.0,303337
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta51_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta51_3a_alloc1_MinDis.dzn,SATISFIED,1200.6743348557502,8,3050,MinDis,0.139,1199.23,minimize,0.768543,4443775,1.032,8,1660874,6867,1660874,0.0,0.94,800,2300,3000,1268958,1268958,5719493,224395795,763,3813,0,3049,1550,-930811026,207724,1500,0.0,210776
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_6a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_6a_alloc1_MinDis.dzn,SATISFIED,1200.6551421713084,,,MinDis,,,minimize,1.88822,,,216,,18207,87923,,,2100,6100,8000,,,,,,,0,8084,4100,,,4000,,
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta49_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta49_3a_alloc1_MinDis.dzn,SATISFIED,1200.527016285807,7,2430,MinDis,0.113,1199.375,minimize,0.624738,2525143,1109.504,7,47384,5482,47384,0.0,0.94,630,1830,2400,641062,641062,3170739,483728807,604,3048,0,2429,1230,-805234196,239997,1200,0.0,242429
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta69_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta69_5a_alloc1_MinDis.dzn,SATISFIED,1200.6671219617128,24,4050,MinDis,0.181,1199.06,minimize,0.939299,8812616,74.859,24,77140,9122,77140,0.0,0.94,1050,3050,4000,423183,423183,9260714,977233007,1016,5068,0,4049,2050,1100322170,315813,2000,0.0,319865
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta62_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta62_4a_alloc1_MinDis.dzn,SATISFIED,1200.5081146825105,,,MinDis,,,minimize,0.986618,,,8,,9121,1208036,,,1050,3050,4000,,,,,,,0,4048,2050,,,2000,,
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta73_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta73_7a_alloc1_MinDis.dzn,SATISFIED,1201.1297433990985,41,8091,MinDis,0.386,1198.103,minimize,1.90145,3099377,1045.776,41,952886,18213,952886,0.0,2.11,2100,6100,8000,135185,135185,3318602,793888604,2019,10100,0,8090,4100,1727517130,891887,4000,0.0,899980
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta39_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta39_3a_alloc1_MinDis.dzn,SATISFIED,1200.3860906921327,,,MinDis,,,minimize,0.510256,,,3,,4126,80134,,,480,1380,1800,,,,,,,0,1828,930,,,900,,
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta79_9a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta79_9a_alloc1_MinDis.dzn,SATISFIED,1201.2799404151738,64,8089,MinDis,0.382,1198.164,minimize,1.84372,2438421,1118.295,64,271173,18211,271173,0.0,2.11,2100,6100,8000,116752,116752,2685672,399726658,2022,10096,0,8088,4100,-1469482588,1226367,4000,0.0,1234458
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta39_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta39_3a_alloc1_MinDis.dzn,SATISFIED,1200.4811561517417,3,1829,MinDis,0.078,1199.521,minimize,0.468847,1081164,447.366,3,80134,4126,80134,0.0,0.63,480,1380,1800,706804,706804,1789606,464126934,457,2291,0,1828,930,44309755,178229,900,0.0,180060
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta47_2a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta47_2a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,73.60897072590888,11,2430,MinDis,0.111,72.439,minimize,0.608824,358539,70.808,11,7310,5482,7310,0.0,0.63,630,1830,2400,30735,30735,393556,44248565,604,3048,0,2429,1230,2017652676,237487,1200,0.0,239919
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta50_2a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta50_2a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,407.7703273072839,15,2432,MinDis,0.112,406.548,minimize,0.646601,1481577,168.925,15,1122,5484,1122,0.0,0.63,630,1830,2400,113004,113004,1601853,251431407,603,3052,0,2431,1230,1772005752,275537,1200,0.0,277971
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta51_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta51_3a_alloc1_MinDis.dzn,SATISFIED,1200.4460562374443,,,MinDis,,,minimize,0.776383,,,8,,6867,1660874,,,800,2300,3000,,,,,,,0,3049,1550,,,1500,,
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta61_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta61_3a_alloc1_MinDis.dzn,SATISFIED,1200.50129118748,,,MinDis,,,minimize,1.00969,,,30,,9116,21532,,,1050,3050,4000,,,,,,,0,4043,2050,,,2000,,
