configuration,problem,model,data_file,time,run,objective
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.7,MaxEff,-1665
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.717,MaxEff,-1841
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.734,MaxEff,-2640
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.746,MaxEff,-3304
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.759,MaxEff,-3426
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.773,MaxEff,-4090
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.793,MaxEff,-4127
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.811,MaxEff,-4249
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.822,MaxEff,-4913
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.84,MaxEff,-4920
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.859,MaxEff,-5042
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.873,MaxEff,-5706
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.89,MaxEff,-5833
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.912,MaxEff,-5840
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.928,MaxEff,-5962
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.945,MaxEff,-6626
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.963,MaxEff,-6698
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,0.983,MaxEff,-6705
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,1.0,MaxEff,-6827
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,1.029,MaxEff,-7491
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,1.285,MaxEff,-7553
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,1.799,MaxEff,-8217
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,1.841,MaxEff,-8261
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,4.138,MaxEff,-8323
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,13.194,MaxEff,-8987
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,21.077,MaxEff,-9010
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,61.833,MaxEff,-9674
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta34_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta34_2a_alloc1_MaxEffGini.dzn,270.484,MaxEff,-10261
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.166,MaxEff,-3943
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.197,MaxEff,-4523
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.225,MaxEff,-4670
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.256,MaxEff,-5250
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.287,MaxEff,-5828
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.32,MaxEff,-6068
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.352,MaxEff,-6289
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.389,MaxEff,-6867
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.437,MaxEff,-6937
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.479,MaxEff,-7397
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.514,MaxEff,-7620
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.545,MaxEff,-8198
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.587,MaxEff,-8412
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.645,MaxEff,-8495
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.683,MaxEff,-8620
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta53_5a_alloc1_MaxEffGini.dzn,1.743,MaxEff,-8852
