configuration,problem,model,data_file,time,run,objective
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,4.292,MaxEff,0
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,4.403,MaxEff,-955
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,4.514,MaxEff,-1145
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,4.606,MaxEff,-2100
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,4.72,MaxEff,-2968
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,4.825,MaxEff,-3098
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,4.931,MaxEff,-3966
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,5.042,MaxEff,-4776
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,5.148,MaxEff,-4882
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,5.263,MaxEff,-5692
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,5.382,MaxEff,-5840
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,5.493,MaxEff,-5946
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,5.823,MaxEff,-6756
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,5.858,MaxEff,-6784
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,5.9,MaxEff,-6932
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,5.986,MaxEff,-7038
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,6.418,MaxEff,-7848
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,6.451,MaxEff,-7862
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,6.494,MaxEff,-8010
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,6.588,MaxEff,-8116
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,7.022,MaxEff,-8926
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,7.055,MaxEff,-8964
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,7.092,MaxEff,-9070
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,7.186,MaxEff,-9880
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,7.63,MaxEff,-10001
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,7.667,MaxEff,-10039
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,7.7,MaxEff,-10145
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,7.808,MaxEff,-10955
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,7.933,MaxEff,-10979
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,8.42,MaxEff,-11789
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,8.452,MaxEff,-11876
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,8.499,MaxEff,-11900
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,8.604,MaxEff,-12710
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,9.063,MaxEff,-13143
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,9.099,MaxEff,-13167
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_10a_alloc1_MaxEffSpread.dzn,9.14,MaxEff,-13977
