configuration,problem,model,data_file,time,run,objective
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_10a_alloc1_MinDis.dzn,3.801,MinDis,921952
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_10a_alloc1_MinDis.dzn,6.382,MinDis,914482
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_10a_alloc1_MinDis.dzn,12.786,MinDis,909239
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_10a_alloc1_MinDis.dzn,46.256,MinDis,579721
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_10a_alloc1_MinDis.dzn,46.623,MinDis,478752
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_10a_alloc1_MinDis.dzn,46.958,MinDis,461794
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_10a_alloc1_MinDis.dzn,49.065,MinDis,461343
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_10a_alloc1_MinDis.dzn,51.882,MinDis,446317
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_10a_alloc1_MinDis.dzn,52.963,MinDis,443985
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_10a_alloc1_MinDis.dzn,1107.812,MinDis,443368
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta74_10a_alloc1_MinDis.dzn,1171.857,MinDis,442146
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta53_5a_alloc1_MinDis.dzn,1.21,MinDis,777330
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta53_5a_alloc1_MinDis.dzn,1.3,MinDis,747128
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta53_5a_alloc1_MinDis.dzn,1.387,MinDis,300601
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta53_5a_alloc1_MinDis.dzn,1.615,MinDis,298285
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta53_5a_alloc1_MinDis.dzn,1.782,MinDis,276981
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta53_5a_alloc1_MinDis.dzn,1.866,MinDis,274037
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta53_5a_alloc1_MinDis.dzn,1.957,MinDis,272137
